,timestamp,open,high,low,close,volume,likes,retweets,emotion,emoji
2018-01-03 21:00:00,1515013200,14948.0,15099.17,14921.0,15074.97,564.21771771,2.1350364963503647,0.8029197080291971,1.2445255474452555,3.2226277372262775
2018-01-03 22:00:00,1515016800,15027.1,15074.97,14802.43,14821.57,754.5096182,1.358974358974359,0.5299145299145299,1.2692307692307692,3.4358974358974357
2018-01-03 23:00:00,1515020400,14821.57,15170.52,14788.03,15155.62,555.711937,0.6899563318777293,0.18340611353711792,1.148471615720524,3.3013100436681224
2018-01-04 00:00:00,1515024000,15155.62,15180.27,15000.0,15103.97,426.14526469,,,,
2018-01-04 01:00:00,1515027600,15150.67,15396.68,14963.69,15350.06,786.05103039,,,,
2018-01-04 02:00:00,1515031200,15350.06,15430.27,15190.29,15250.0,644.84516422,,,,
2018-01-04 03:00:00,1515034800,15250.0,15295.76,15063.76,15065.88,273.7649869,,,,
2018-01-04 04:00:00,1515038400,15065.86,15076.27,14839.56,14904.59,496.56788659,,,,
2018-01-04 05:00:00,1515042000,14949.9,15000.0,14802.76,14901.06,325.17249371,,,,
2018-01-04 06:00:00,1515045600,14901.06,15105.99,14844.28,14850.0,499.78583261,,,,
2018-01-04 07:00:00,1515049200,14850.0,14941.75,14729.02,14818.52,625.3802559,,,,
2018-01-04 08:00:00,1515052800,14838.24,14900.0,14337.4,14338.36,1044.11772747,,,,
2018-01-04 09:00:00,1515056400,14337.41,14546.28,14192.37,14511.09,683.7174499,,,,
2018-01-04 10:00:00,1515060000,14476.46,14655.65,14400.04,14429.71,691.80711292,,,,
2018-01-04 11:00:00,1515063600,14418.95,14605.0,14335.42,14567.81,334.68486805,0.6475409836065574,0.2540983606557377,1.0737704918032787,3.2950819672131146
2018-01-04 12:00:00,1515067200,14566.56,14605.0,14258.6,14400.04,572.11033865,1.349624060150376,0.575187969924812,0.9473684210526315,3.387218045112782
2018-01-04 13:00:00,1515070800,14413.66,14653.78,14400.0,14575.48,566.76141877,1.530909090909091,0.6763636363636364,1.3563636363636364,3.1745454545454543
2018-01-04 14:00:00,1515074400,14600.21,14765.84,14509.7,14641.1,542.79191018,2.9614035087719297,1.0491228070175438,1.407017543859649,3.263157894736842
2018-01-04 15:00:00,1515078000,14641.01,14716.69,14500.0,14551.29,766.08318571,3.3385579937304075,1.1253918495297806,1.1755485893416928,3.0752351097178683
2018-01-04 16:00:00,1515081600,14551.36,14600.0,14401.74,14522.0,652.01527623,7.858461538461539,3.163076923076923,1.3323076923076924,3.4
2018-01-04 17:00:00,1515085200,14522.26,14720.0,14500.62,14716.0,471.035017,3.311953352769679,1.1982507288629738,1.2128279883381925,3.262390670553936
2018-01-04 18:00:00,1515088800,14717.47,14951.34,14710.0,14780.4,855.384054,2.5817610062893084,0.6509433962264151,1.20125786163522,3.2641509433962264
2018-01-04 19:00:00,1515092400,14781.45,15061.3,14773.67,14972.38,1018.08315598,3.1153846153846154,0.9556213017751479,1.168639053254438,3.3402366863905324
2018-01-04 20:00:00,1515096000,15005.0,15101.41,14836.04,14850.0,1037.1300957,5.166666666666667,1.4375,1.3819444444444444,3.2604166666666665
2018-01-04 21:00:00,1515099600,14855.86,15079.42,14800.0,14893.34,614.34796275,3.041958041958042,1.1258741258741258,1.1958041958041958,3.269230769230769
2018-01-04 22:00:00,1515103200,14893.34,15139.17,14816.68,15029.0,620.38237548,5.46360153256705,2.375478927203065,1.3065134099616857,3.371647509578544
2018-01-04 23:00:00,1515106800,15029.0,15200.52,14930.44,15143.67,455.85372876,2.064885496183206,0.40458015267175573,1.1488549618320612,3.118320610687023
2018-01-05 00:00:00,1515110400,15143.67,15199.98,14900.0,15057.6,317.9065312,1.8846153846153846,0.9951923076923077,1.1730769230769231,3.264423076923077
2018-01-05 01:00:00,1515114000,15045.88,15172.89,14958.04,15096.99,358.42879167,0.963265306122449,0.23265306122448978,1.1183673469387756,3.7510204081632654
